GRIN Accession	Protein	GRIN Link
FC4007B	44.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1485740	
NSL22316		https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1087683	
PI101404A	47.9;50.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1488128	
PI101404B	49.1;50.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1488129	
PI103079	45.5;46.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1128008	
PI103080	43.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1128009	
PI103088	45.3;48.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1128016	
PI103091	42.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1128017	
PI103414	37.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1128192	
PI103415	44	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1128193	
PI103419A	43.1;46.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486000	
PI103419B	41.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1485999	
PI104708	42.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1128320	
PI105579	43.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1128382	
PI123439	50.3;51.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1132275	
PI123440	47.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1132276	
PI123577A	43.6;46.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486002	
PI123577B	42.8;45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486001	
PI123578	44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1132315	
PI123587	43.7;46.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1132316	
PI123590	46.5;46.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1132317	
PI124871	42.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1132627	
PI131531	38.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1133984	
PI132201	40.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1134057	
PI132203	44.8;45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1134058	
PI132204	45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1134059	
PI132205	45.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1134060	
PI132206	39.6;44.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1134061	
PI132207	46.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1134062	
PI132214	44.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1134063	
PI132215	39.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1134064	
PI132217	44.4;44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1134065	
PI133226	47.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1134158	
PI135589	39.1;42.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1134609	
PI135590	41.0;43.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1134610	
PI135624	47.3;51.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1134611	
PI142491	39.9;43.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1135557	
PI145079	42.4;43.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1135823	
PI148259	48	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1135997	
PI148260	45.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1135998	
PI151249	44.4;46.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136201	
PI152361	42.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136378	
PI152573	44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136398	
PI153203	45.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136616	
PI153208	44.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136621	
PI153209	41.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136622	
PI153210	45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136623	
PI153211	44.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136624	
PI153212	45	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136625	
PI153213	44.3;46.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136626	
PI153214	41.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136627	
PI153215	37.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136628	
PI153216	45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136629	
PI153217	44.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136630	
PI153218	45.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136631	
PI153219	43.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136632	
PI153221	45.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136634	
PI153222	45.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136635	
PI153223	44.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136636	
PI153225	44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136637	
